% Etherscan Transactions Dataset
@RELATION etherscan_transactions

@ATTRIBUTE TransactionHash STRING
@ATTRIBUTE Method {transfer, 'claim multiple', prove, relay, 'process route with transfer value output', 'swap exact eth for tokens', 'revoke single nonce', pay, 0x415565b0, swap, approve, execute, 'execute meta txn', 'strictly swap and call', deposit, 'transfer erc20', 'deposit eth', 'stake start', 'swap exact tokens for tokens supporting fee on transfer tokens', 'propose block', 0x9871efa4, 0x3cac7222, 'swap exact eth for tokens supporting fee on transfer tokens', unoswap2, 'swap exact tokens for eth supporting fee on transfer tokens', 'claim withdrawals', 'exact input single', 'propose l2output', 'update fee bps', 'set approval for all', 'execute zero ex swap', send, 'all batch', 0x1a1da075, exit, 'fill order args', 'commit blob', 'add sequencer l2batch from blobs', 0x7042cbe0, 0xb257b7af, 'prove block', 0x01130705, 0x0938b20b, 0x5786c0f7, 0xe7690f6b, 'transfer from', stake, 'removes limits', 'exec transaction', claim, 'exact output single', 'this transaction includes data in the input data field which may indicate a message in utf-8', 'simple swap', withdraw, 'claim mint', 'buy with eth wert', 'call one inch', 'vote to bless', 'complete queued withdrawals', 'remove liquidity eth with permit', 0x02c28f23, register, 'execute f fs yo', unoswap, 'receive tokens', 'sigma sell', 'commit batch with blob proof', 0x8db69e5d, 'buy and burn', 'anchor dag cbor', 0x000001ad, 'bond withdrawal', 0x46e44847, 'claim multiple rewards', 0x0162e2d0, 'submit value', 0x6ac56d4e, 0x1d0a9fdf, 'swap exact tokens for tokens', 'fill v3relay', 0x988a81d9, 0x4ff8dad8, 0x02fff96e, 'permit redeem', 0x75713a08, 0x599a083b, 0x7c3d6159, 0xc9da3165, 0x041d6c61, 0x05f497df, 0x741143fb, 0x49c36c07, 'release tokens', 0x00000000, 'fulfill available advanced orders', 'sigma buy', 0x0918c2ea, 0x7f3e4206, 0x091e21ea, 'finalize withdrawal transaction external proof', 'execute batch deposit', 'on chain swaps', 'sequence batches', 0x0d5f0e3b, 'redeem with locked fee', 'deposit with expiry', 'transfer out', 'add sequencer l2batch from origin', 0x11858c7a, 'commit verification', unbond, 0xce2e62ff, 'transfer out and call', 0x04000104, 0x209178e8, 0x76e9bd59, 0x7c3daf68, 0x041d5ad1, 0x2d87b8a1, 'finalize blocks with proof', 0x2213bc0b, 'release max', 'add light client block', 'swap on uniswap v2fork', 0x60806040, 'flush forwarder tokens', 'claim in nf ts', transmit, 'swap tokens single v3erc20to native', 'swap simple mode', 'create order', 0x122067ed, sell, buy, 'send to injective', 'get rewards', 'claim tokens', 'disperse token', 0xca350aa6, 0x04394ff4, 0x8239e0a4, borrow, 'swap exact tokens for eth', 'finalize withdrawal', bridge, multicall, 'complete transfer', 'claim purchase', 'send multi sig', 0xc5c2d919, 'swap compact', 0xb270dfff, 'mooo z1089603480', 'send v1', 'delegate to', execute302, 'handle ops', 'eth unoswap', initiate, 0x8132b321, 0x45c20f61, 'bridge in', 0x2bad1d9e, aggregate, 'relay tokens', 'start bridge tokens via across', 'uniswap v3swap', 'verify batches trusted aggregator', 'claim amount', 'request exit', 0x7c3e4206, 0x041e21ea, 0xcba9bc66, 'smart swap by order id', 0x00000011, 'cooldown shares', 'open trading', 'transfer tokens', 'claim holding singleton', update, migrate, 0xa0000000, 0x2b667bae, 0x7131565e, 0x8650872b, 'open trade', 'match token order by admin_k44j', 'fulfill order', 0x84fa30a0, 0xa8f73d99, 0xdb661afa, unstake, 'execute batch', 'swap v2exact in', 'send multi sig token', 0xef61a6db, 'set max ca swap', 0x0400040a, 'batch issue', exchange, extend, 'bridge token', 'withdraw eth', 'finalize optimistic mint', 'batch transfer', 'complete cross chain request', 'withdraw and swap', forward, leave, 0x859b7571, 0x98b2165d, 'end stake', 0x46420690, 0x4121ea55, 'add liquidity eth', 'buy v2', 'remove liquidity eth with permit supporting fee on transfer tokens', 0x695b3fa9, 'request withdrawal with permit', 'set tax', 'set prices', 'send to aptos', 'swap by dln', 'release approve gas', 0xb7e62873, 'validate transaction proof v2', 'increase epoch', 'emergency withdraw', 'multi claim', 'safe transfer from', 0x9740318c, 'strictly swap and call dln', release, 0x3cd18ca0, 'set min swap', 0xedebffff, 'deposit coin', 'verify merkle', 'swap eth', executef$eb0i, 'transfer tokens with payload', 'fill quote eth to token', 'create salted order', 0x8012366b, 0x4a0ecd94, 0xbc4a02e4, 0x15944729, 0x270d1f9f, 0x57c7bbec, 0x68cdab9c, 'bridge eth to', 'verify fri', 'commit header range', 0x6082bbc7, 0x4dca6944, 'buy with eth', 'set max tx', 'swap and start bridge tokens via thor swap', 'sell to uniswap', 'swap exact amount in on uniswap v2', 0x2b953bed, 0x4cf3fe9c, 0xd4e4634a, 0xa0136443, 'swap tokens for exact tokens', 'swap eth for exact tokens', 'to amm', 'execute atomic', 0x4b9ead9e, 0xd1ef9249, 0x3eceac2c, 0x7c3a888c, 0x2b69034a, supply, 0x31025c04, exchange_underlying, 'swap titan x for volt and burn', 0x7f3e0590, 'delegate all', 'create retryable ticket', submit, permit, 'refinance auction by other', 'borrower refinance', 'claim usc rewards', 'fulfill advanced order', 'meta route', 0xd8d35ea4, 0x66e0daa0, 0x2b9582a9, 'take bid single', 0x038d41f6, 'fill otc order', 'create forwarder', 0x05000184, 'set automated market maker pair', 0x091e0e31, 0x7f3e5812, 0x28cf89f4, 'set fares', 'relay message with proof', 'swap exact amount in', renew, 'claim self bayc', 'claim self bakc', 'execute controller', 'cancel order', 'finalize deposit', 'sell token for token to uniswap v3', 'claim all', 'invalidate unordered nonces', undelegate, 'forward eth', 'harvest rewards', 'mint with titan x', 'update claim', 0xdbcd0278, 'sponsored call v2', 0xabbae307, 0xa090949a, 0x03b87e5f, 0x0301080a, 'match advanced orders', 'unoswap to', 'lock lp token', 'execute transaction', 'claim self mayc', 'confirm batch', 'update state', 'verify availability proof'}
@ATTRIBUTE BlockNumber NUMERIC
@ATTRIBUTE FromAddressEncoded NUMERIC
@ATTRIBUTE ToAddressEncoded NUMERIC
@ATTRIBUTE Value_ETH NUMERIC
@ATTRIBUTE TxnFee_ETH NUMERIC

@DATA
0xe744090208783e2e65aeda904a679706431545dfd323c2931f258ded2d989889,transfer,0.0,904,298,2.986158026601621e-05,0.0019670748394403
0x804b8f00e64af304cf2ad2333c93b9d0949c60daac209bcbb27bb6b976d94cd0,transfer,0.0,1431,89,3.118509329709792e-05,0.0006989378436376
0xb5b11f9d692a1049e1e28a1de237e85fd34c79754f16948b2cc30f763125a09f,transfer,0.0,439,1081,0.0002946630089245,0.0009905118529425
0x8415277b03e75e205b5736c6aae698fae79b0e5e55bac2bf858446723e3f0d67,transfer,0.0,1074,1608,0.000259561896913,0.0007573665137961
0xb14b92f8aefbcb4e47b7486d3bcfc83bfcbd071d9773fa198fe31434b1576e62,transfer,0.0,2154,1651,1.1019611345102463e-06,0.0007065527860334
0x08625b2324b9bf3042993c7b9850abdfc588bd9012418784552ade51a0b05fbe,transfer,0.0,2115,1632,4.106037284117893e-06,0.0007065527860334
0x5e8cd957674dcf4556c3f28b1ef33e81d00a155d244d13dd49e854f5c8658c7d,transfer,0.0,410,720,1.326075562173082e-05,0.0007784321488349
0x6c744f40a367a8887ee16f185355e422e5b326d2ffc2a106a0bda102a794e6e5,transfer,0.0,2855,387,3.9141112261786784e-05,0.0007141677284292
0xf91e775ce0015dbfdca7448adcd2fab694df4b64f5976b7f7b880c6b5f284578,transfer,0.0,1008,1205,0.0001575571526875,0.0007065527860334
0xb50ba82d6bd4867cbcee9c9217bbd61046e6b0526c864c5e09179bf1f4ef4a60,'claim multiple',0.0,707,707,0.0,0.022898202951879
0xb2bc10cb5f7cd84b5821881344b1773ed179133892a01ddce007449254806e1e,transfer,0.0,1389,796,0.0,0.0024437559998807
0x521cd9a43806ad084d377fa3c5f4d33e40e2126ad9096fbfc65121dbf8ea3122,transfer,0.0,266,697,1.9542658466181364e-05,0.0008465396242815
0xd445730ebb4253130e46e44882ec3fe4beffbee754e45b4f432d4a777388a74f,prove,0.0,2799,656,0.0,0.0080272879681561
0x4e7d42c51b7b6c65dfc60c807a6aca0279c3742af4e18466019396eb10080f57,relay,0.0,2799,656,1.584111055318281e-05,0.0099767132214828
0xb13ab7dd415bcb83b32f705dd751eb1dd626d03c6a26804ce77712592d320fd6,relay,0.0,2799,656,0.0002716502816965,0.0099747916939624
0xec92e43faaa1ffb398524ff97f698bb3adaa5fd74d855f436d2a62ebe60345d2,'claim multiple',0.0,2130,707,0.0,0.0229042522051841
0x78dc262b9a10d09e87564ed01f74095b76462b6b11a67492222a5a405bb1ac1e,transfer,0.0,810,1737,7.866644982106845e-05,0.0007074067982647
0x5d9e4c967a211a60cad91a591080280739f9766d0297f8800d8c118e2cfa7226,transfer,0.0,2685,744,2.161398275800571e-06,0.0007074067982647
0xe7106d6cf9936a1f92bff5300156a3c11dc295d811508eba7739ab3b1151b312,transfer,0.0,538,803,0.0001209566338434,0.0009905118529425
0x44010e6fd007475ad0aed4ccd35a0974bcd932e1684187aacb9561288b55d913,transfer,0.0,3147,1585,0.0,0.0048522128275341
0xdc68301d1a131a25f39ff7dc556094a3b7b805627238ce1c03386f573376f02a,transfer,0.0,1079,532,3.95820538884611e-05,0.0009905118529425
0x4ce014d292f80fe45beaa60fcfe22e3d201900b2ee4b34454f19d357d41fe8ae,transfer,0.0,1903,763,0.0002087973181533,0.0009905118529425
0x3c74eeb601735d260cf5d82fc9a6679bda16b99cd8beb2657371a2448b3d485e,transfer,0.0,2283,1851,8.524252944686384e-06,0.0010434606112834
0xa73a5a43ad03ce7d9c2af319b41a5d3bf1ef4512a6ac322a799e475cb0d54b24,transfer,0.0,2868,1944,0.0001978458493555,0.0007936620336265
0x5f4316eedcd7fb632d318f7880642a12f407ad7cbfae94a5e622edf77df27a29,'process route with transfer value output',0.0,2508,1850,0.0,0.0293496960179046
0x21caa8d53b51b0a11f975c368a58c3443ed9c34b73901c7a4e3e8400290f5822,'swap exact eth for tokens',0.0,2294,971,0.0004006753479303,0.0188830644463961
0xac2bdc66bc9998de90aa5d64e91abb32d59be735e795ba97c67cde2daa18684f,'revoke single nonce',0.0,3022,1214,0.0,0.0046009908961584
0x6383a93f4c07b2add03379bf1c10a2bb91a2101fb8b726f62c5b6f37e80b8c54,transfer,0.0,2460,1702,0.0,0.0049082929640565
0xc834501a3b233025b5ec53a12a0734dabd5f75d2952106b9863b6d0f8bdffdb1,transfer,0.0,677,1258,0.0,0.0047171365596159
0x6990ed56ad041899e0200c27ab4c4f43be60631aef558cc2a8adf06f284b35c9,pay,0.0,2816,787,9.771329233090682e-06,0.0324299758008517
0xe7fc07144b72328aa6f6cf333e5b75576dd6279e6abd4e8452be2bba0f017266,0x415565b0,0.0,2464,1731,0.0,0.0803752899816323
0x795b769edfc18a4a2162e1c248c42ea7cd2b922f31f288266514ea1f920c0e71,transfer,0.0,340,151,4.553465410198005e-06,0.000841059712464
0x5f77128649330a6c349928b680a99f90e7d5f227a9c87be6ac32e39ef7827d29,swap,0.0,579,146,0.0,0.0494577698424226
0xbc5f70255620e863c85bb36cde83920bcffcdb301f679aa489b2338c6d0bd555,approve,0.0,579,517,0.0,0.0058300568323789
0xb3f9362620476acadb8412d0e8a7b3be22c4341227627ab888bd5e6f25895411,transfer,0.0,183,1365,4.625788839069525e-06,0.0008465396242815
0xa878003b2152a1a767f69bc1a6fadbe7567e3badafaeb4a594b07b426d256788,transfer,0.0,266,171,6.153858410627323e-05,0.0008465396242815
0x9d5dc7090a4c899aaf2e5dfd5e36b9b18b07c9fcb37b6224833bd6ef85c6195e,execute,0.0,963,495,2.59875777475816e-05,0.0302564435044932
0x2680fe7757792f9fea9daf54e7c60d4793710fdecb8e3046c011f3b7ba900c17,approve,0.0,1346,1855,0.0,0.0059238558424506
0x7d30b270b7b411298c3e28cbe534bdf809e32fac2ae79ecae9984ad0548cbf31,'execute meta txn',0.0,1635,159,0.0,0.0619714687323704
0xcdf9dcb26b5cc4b4a32e9eab6ecb5e347c695ed9d3debeb9a3769c52ff2e9868,transfer,0.0,306,1702,0.0,0.0050808034347802
